date,RV,bars,volume_day,log_RV,security
2026-01-05,0.00019393369396767976,89,41675,-8.54799424099405,RIH6
2026-01-06,9.482203227070908e-05,88,29244,-9.263508767786963,RIH6
2026-01-08,0.00010420422834751201,89,40333,-9.169157850317532,RIH6
2026-01-09,7.585761977613494e-05,89,37271,-9.48665239872972,RIH6
2026-01-12,9.728962854203437e-05,89,41984,-9.237818167033005,RIH6
2026-01-13,0.0001091106119131109,89,41214,-9.123148402090916,RIH6
2026-01-14,0.00018750710872394096,89,70574,-8.581693800078144,RIH6
2026-01-15,0.0001176405170299454,89,62590,-9.047877049269902,RIH6
2026-01-16,9.012634321272874e-05,89,50795,-9.314298058584189,RIH6
2026-01-17,2.868236654638841e-06,39,705,-12.761813123066673,RIH6
2026-01-18,8.628924600325134e-06,50,1419,-11.660390672415192,RIH6
2026-01-19,9.824587881995423e-05,89,47199,-9.228037253947539,RIH6
2026-01-20,5.5084905872893336e-05,89,42244,-9.806634819934832,RIH6
2026-01-21,0.00011918984796016166,89,66581,-9.034792975079483,RIH6
2026-01-22,0.00020113640408152164,89,68462,-8.51152725279731,RIH6
2026-01-23,0.00010356867520502263,89,38010,-9.175275636745647,RIH6
2026-01-24,9.031595899249625e-05,54,5899,-9.312196380128025,RIH6
2026-01-25,2.0317403244415055e-05,55,2635,-10.804032736510036,RIH6
2026-01-26,0.0001723576795592723,89,66316,-8.66593870806386,RIH6
2026-01-27,0.00010471093126113794,89,52220,-9.164307039987158,RIH6
2026-01-28,0.00010769193777576929,89,52039,-9.136235834767646,RIH6
2026-01-29,0.00037007977992883255,89,109856,-7.901791954139686,RIH6
2026-01-30,0.0002448959640760436,89,74487,-8.314677074027436,RIH6
2026-01-31,2.1939967710588814e-05,48,1936,-10.727200574832548,RIH6
2026-02-01,2.721535894828899e-05,52,2161,-10.51172907681036,RIH6
2026-02-02,0.0003182520446365165,89,75395,-8.05266689592362,RIH6
2026-02-03,0.00011066016197179123,89,44733,-9.109046656806685,RIH6
2026-02-04,0.0001306626491602311,89,64406,-8.942891753537317,RIH6
2026-02-05,0.00017004698763149138,89,80885,-8.679435761272554,RIH6
2026-02-06,0.00014337429384333596,89,52810,-8.850051907769512,RIH6
2026-02-07,4.5763345365893685e-06,50,1025,-12.294612199786794,RIH6
2026-02-08,1.1008322366896312e-05,49,2128,-11.416858992418618,RIH6
2026-02-09,9.819372505364988e-05,89,48719,-9.228568244302858,RIH6
2026-02-10,4.7941260009819184e-05,89,45146,-9.94553404624504,RIH6
2026-02-11,0.0001400543938324181,89,75041,-8.873479683437772,RIH6
2026-02-12,5.542023539450462e-05,89,50823,-9.800565771073565,RIH6
2026-02-13,0.0001547350549580712,89,68777,-8.773796226455381,RIH6
2026-02-16,5.4050683151253244e-05,89,40245,-9.825588374712803,RIH6
2026-02-17,5.557601202691939e-05,89,45199,-9.797758888168806,RIH6
2026-02-18,0.00012886446909122029,89,73665,-8.956749333098074,RIH6
2026-02-19,8.825944858502711e-05,89,50658,-9.335229801762749,RIH6
2026-02-20,6.044343714023478e-05,89,42532,-9.713802553542763,RIH6
2026-02-21,1.4023841494850834e-06,40,462,-13.47733680582405,RIH6
2026-02-22,4.937179820347275e-06,46,1585,-12.218716276351604,RIH6
2026-02-23,2.67180694722426e-05,53,10014,-10.53017046219633,RIH6
2026-02-24,8.777084015251518e-05,89,51543,-9.340781229200124,RIH6
2026-02-25,7.902092710306555e-05,89,64410,-9.445797840538269,RIH6
2026-02-26,5.322820064309568e-05,89,47866,-9.84092221478707,RIH6
2026-02-27,6.605076559177095e-05,89,48272,-9.62508693596893,RIH6
2026-02-28,1.8664445011550965e-05,54,5291,-10.88889018021869,RIH6
2026-03-01,3.9113962931485244e-05,55,9580,-10.14903104649879,RIH6
2026-03-02,0.00020526036689332504,89,75982,-8.491231302291785,RIH6
2026-03-03,9.45748814626634e-05,89,53967,-9.26611864081458,RIH6
2026-03-04,0.00010765477669517837,89,64335,-9.136580962679638,RIH6
2026-03-05,6.159356699513994e-05,89,49675,-9.69495312477527,RIH6
2026-03-06,8.35907961344618e-05,89,60245,-9.389577138019803,RIH6
2026-03-09,0.00024860367463520286,89,71461,-8.299650597680724,RIH6
2026-03-10,0.00016249037899562297,89,66286,-8.724891764128019,RIH6
2026-03-11,9.188378360033246e-05,89,44178,-9.294986001187883,RIH6
2026-03-12,6.33875671866032e-05,89,46797,-9.666242816909119,RIH6
2026-03-13,7.400062468699443e-05,89,44422,-9.511437023079594,RIH6
2026-03-14,1.4540999500914749e-05,52,1570,-11.13853834675555,RIH6
2026-03-15,4.263177095953547e-06,41,620,-12.365495878479315,RIH6
2026-03-16,0.00010265751376035273,89,54118,-9.184112219317933,RIH6
2026-03-17,8.935827520597093e-05,89,43342,-9.322856705023774,RIH6
2026-03-18,0.00012534133214875032,89,68188,-8.984469884943147,RIH6
2026-03-19,5.431828703754395e-05,60,16630,-9.820649609865995,RIH6
2026-03-20,0.00018220208201709682,60,65052,-8.610394146106577,RIM6
2026-03-23,0.0003003588946315455,90,82485,-8.110532482884704,RIM6
2026-03-24,0.0001751872658221542,90,62572,-8.649655065767073,RIM6
2026-03-25,0.00011214658132317445,90,42224,-9.095703780537358,RIM6
2026-03-26,0.0001227180405441698,33,34366,-9.00562118735538,RIM6
